pais,jogos_verao,ouro,prata,bronze,total_verao,jogos_inverno,ouro_1,prata_1,bronze_1,total_inverno,total_olimpiadas,total_ouro,total_prata,total_bronze,total_geral
EUN Equipa Unificada[30],1,45,38,29,112,1,9,6,8,23,2,54,44,37,135
URU Uruguai,22,2,2,6,10,1,0,0,0,0,23,2,2,6,10
UZB Uzbequistão,7,10,6,20,36,7,1,0,0,1,14,11,6,20,37
VEN Venezuela,19,3,7,9,19,4,0,0,0,0,23,3,7,9,19
VIE Vietnã,16,1,3,1,5,0,0,0,0,0,16,1,3,1,5
ZAM Zâmbia,14,0,1,1,2,0,0,0,0,0,14,0,1,1,2
ZIM Zimbabwe,14,3,4,1,8,1,0,0,0,0,15,3,4,1,8
ZZX Equipa mista[31],3,8,5,4,17,0,0,0,0,0,3,8,5,4,17
IOA Atletas Olímpicos Independentes[IOA],3,1,0,1,2,0,0,0,0,0,3,1,0,1,2
IOP Participantes Olímpicos Independentes[IOP],1,0,1,2,3,0,0,0,0,0,1,0,1,2,3
